# ID RA Dec
040590 160.4451708 56.7510056
040591 161.1300458 56.8034278
040593 184.8910750 45.8412417
040603 163.2132875 57.1371194
040662 182.8888333 47.2748222
040693 213.8660958 52.3972278
040762 215.0278000 53.6592611
040777 242.3679333 53.6734000
040780 243.6194708 54.7258111
040781 244.4923708 54.6654250
040782 242.0767000 54.9081500
040783 242.7787458 54.8304861
050002 212.5164875 53.2587694
050003 242.2193333 55.0048111
050004 212.7061958 53.8381833
050005 211.8121750 53.9976111
050007 160.7421333 56.9001056
050009 185.3964708 46.0963472
050010 185.8900250 45.9127889
050012 186.4074000 46.7506611
050016 159.8576000 58.0446417
050017 186.4964000 46.7146417
050018 184.5773042 46.8149750
050025 160.4399000 57.9880389
050026 162.4970208 57.9458056
050032 183.8957542 46.1297694
050035 161.7806000 59.2953944
050044 212.3330750 54.2625444
050048 164.2539750 58.8580056
050052 163.0200958 56.9178750
050057 211.3507000 53.0624861
050064 212.0791958 53.5594611
050065 214.3489583 53.4904806
050078 212.8421708 52.2129694
050081 242.8308750 53.6374833
050088 184.1731375 46.6900250
050089 184.2959333 46.6859111
050098 185.2659375 46.5539778
050132 184.2873083 46.1410000
050160 185.2300667 46.8320861
050162 186.3522875 46.8412167
050164 186.8062542 46.8284611
050172 185.4301625 47.0238722
050179 160.8275000 58.1057639
050182 162.4733333 58.1136750
050185 183.2804292 47.1281111
050186 186.3922625 47.1496944
050199 211.2408167 53.6313028
050201 241.7033583 54.9809333
050202 242.8953583 55.1466417
050203 242.7929583 55.1223056
050205 242.0240042 55.2114139
050209 186.8962333 47.1977556
050221 212.6639667 53.9896556
050226 161.3213542 59.1286583
050235 186.1484750 48.3376694
050241 162.4944542 58.6893500
050251 214.3273667 53.9783194
050264 183.8538542 47.9946333
050273 213.9906083 52.1538972
050274 160.1599042 57.6117861
050291 244.5661333 55.3847056
050292 244.7995875 55.3755444
050293 244.4487750 55.3022889
050296 243.4509042 55.6085389
050297 244.3190667 55.5444083
050298 243.1584375 55.7207417
050301 244.7241958 55.7829111
050303 241.4368042 56.0744167
050320 149.5152208 2.2788861
050321 150.6460667 3.1306139
050477 185.9299667 46.2831139
050577 185.4435958 46.6536528
050578 184.7985875 46.9760111
050580 212.9907042 52.0718472
050581 211.8894583 52.6382972
050583 240.3142042 54.2982056
050586 213.8837792 53.0158528
050596 185.4977917 45.8471694
050598 184.0488667 46.1969361
050601 183.5271042 46.9923028
050606 214.3296750 53.3760028
050607 213.5139167 53.3621889
050617 214.6080083 53.9119667
050622 185.7703833 46.0611528
050623 213.0093875 52.1757028
050625 241.8258250 53.8299389
050626 244.1191958 53.7974056
050643 243.4779875 54.1901000
050654 214.3705083 53.3469778
050656 244.2098917 54.6463139
050662 185.1080417 47.1415833
050663 183.4461667 47.1259972
050665 242.6437583 54.9570917
050668 184.5286583 47.7259444
050669 241.4821792 55.3764417
050676 243.7932000 55.5897972
050695 242.3520625 56.4250917
050789 241.5805250 53.9211639
